,from,to,link_type
304,Diplonychus rusticus,Ardea purpurea,0
305,Aquarius adelaides,Ardea purpurea,0
306,Limnogonus fossarum,Ardea purpurea,0
307,Laccotrephes griseus,Ardea purpurea,0
308,Laccotrephes ruber,Ardea purpurea,0
309,Ranatra elongata,Ardea purpurea,0
310,Ranatra filiformis,Ardea purpurea,0
311,Ranatra varipes,Ardea purpurea,0
312,Anisops campbelli,Ardea purpurea,0
313,Hydrovatus confertus,Ardea purpurea,0
314,Big fish juveniles,Ardea purpurea,0
315,Parambassis baculis,Ardea alba,0
316,Aplocheilus panchax,Ardea alba,0
317,Badis badis,Ardea alba,0
318,Puntius vittatus,Ardea alba,0
319,Rasbora daniconius,Ardea alba,0
320,Pethia phutunio,Ardea alba,0
321,Trichogaster lalius,Ardea alba,0
322,Trichogaster fasciata,Ardea alba,0
323,Duttaphrynus melanostictus,Ardea alba,0
324,Duttaphrynus scaber,Ardea alba,0
325,Fejervarya orissaensis,Ardea alba,0
326,Minervarya agricola,Ardea alba,0
327,Minervarya pierrei,Ardea alba,0
328,Euphlyctis cyanophlyctis,Ardea alba,0
329,Hoplobatrachus tigerinus,Ardea alba,0
330,Hoplobatrachus crassus,Ardea alba,0
331,Sphaerotheca breviceps,Ardea alba,0
332,Sphaerotheca rolandae,Ardea alba,0
333,Microhyla mymensinghensis,Ardea alba,0
334,Uperodon systoma,Ardea alba,0
335,Hylarana tytleri,Ardea alba,0
336,Polypedates maculatus,Ardea alba,0
337,Diplonychus annulatus,Ardea alba,0
338,Diplonychus rusticus,Ardea alba,0
339,Aquarius adelaides,Ardea alba,0
340,Limnogonus fossarum,Ardea alba,0
341,Laccotrephes griseus,Ardea alba,0
342,Laccotrephes ruber,Ardea alba,0
343,Ranatra elongata,Ardea alba,0
344,Ranatra filiformis,Ardea alba,0
345,Ranatra varipes,Ardea alba,0
346,Anisops campbelli,Ardea alba,0
347,Hydrovatus confertus,Ardea alba,0
348,Big fish juveniles,Ardea alba,0
349,Parambassis baculis,Ardea intermedia,0
350,Aplocheilus panchax,Ardea intermedia,0
351,Badis badis,Ardea intermedia,0
352,Puntius vittatus,Ardea intermedia,0
353,Rasbora daniconius,Ardea intermedia,0
354,Pethia phutunio,Ardea intermedia,0
355,Trichogaster lalius,Ardea intermedia,0
356,Trichogaster fasciata,Ardea intermedia,0
357,Duttaphrynus melanostictus,Ardea intermedia,0
358,Duttaphrynus scaber,Ardea intermedia,0
359,Fejervarya orissaensis,Ardea intermedia,0
360,Minervarya agricola,Ardea intermedia,0
361,Minervarya pierrei,Ardea intermedia,0
362,Euphlyctis cyanophlyctis,Ardea intermedia,0
363,Hoplobatrachus tigerinus,Ardea intermedia,0
364,Hoplobatrachus crassus,Ardea intermedia,0
365,Sphaerotheca breviceps,Ardea intermedia,0
366,Sphaerotheca rolandae,Ardea intermedia,0
367,Microhyla mymensinghensis,Ardea intermedia,0
368,Uperodon systoma,Ardea intermedia,0
369,Hylarana tytleri,Ardea intermedia,0
370,Polypedates maculatus,Ardea intermedia,0
371,Diplonychus annulatus,Ardea intermedia,0
372,Diplonychus rusticus,Ardea intermedia,0
373,Aquarius adelaides,Ardea intermedia,0
374,Limnogonus fossarum,Ardea intermedia,0
375,Laccotrephes griseus,Ardea intermedia,0
376,Laccotrephes ruber,Ardea intermedia,0
377,Ranatra elongata,Ardea intermedia,0
378,Ranatra filiformis,Ardea intermedia,0
379,Ranatra varipes,Ardea intermedia,0
380,Anisops campbelli,Ardea intermedia,0
381,Hydrovatus confertus,Ardea intermedia,0
382,Big fish juveniles,Ardea intermedia,0
383,Parambassis baculis,Egretta garzetta,0
384,Aplocheilus panchax,Egretta garzetta,0
385,Badis badis,Egretta garzetta,0
386,Puntius vittatus,Egretta garzetta,0
387,Rasbora daniconius,Egretta garzetta,0
388,Pethia phutunio,Egretta garzetta,0
389,Trichogaster lalius,Egretta garzetta,0
390,Trichogaster fasciata,Egretta garzetta,0
391,Duttaphrynus melanostictus,Egretta garzetta,0
392,Duttaphrynus scaber,Egretta garzetta,0
393,Fejervarya orissaensis,Egretta garzetta,0
394,Minervarya agricola,Egretta garzetta,0
395,Minervarya pierrei,Egretta garzetta,0
396,Euphlyctis cyanophlyctis,Egretta garzetta,0
397,Hoplobatrachus tigerinus,Egretta garzetta,0
398,Hoplobatrachus crassus,Egretta garzetta,0
399,Sphaerotheca breviceps,Egretta garzetta,0
400,Sphaerotheca rolandae,Egretta garzetta,0
401,Microhyla mymensinghensis,Egretta garzetta,0
402,Uperodon systoma,Egretta garzetta,0
403,Hylarana tytleri,Egretta garzetta,0
404,Polypedates maculatus,Egretta garzetta,0
405,Diplonychus annulatus,Egretta garzetta,0
406,Diplonychus rusticus,Egretta garzetta,0
407,Aquarius adelaides,Egretta garzetta,0
408,Limnogonus fossarum,Egretta garzetta,0
409,Laccotrephes griseus,Egretta garzetta,0
410,Laccotrephes ruber,Egretta garzetta,0
411,Ranatra elongata,Egretta garzetta,0
412,Ranatra filiformis,Egretta garzetta,0
413,Ranatra varipes,Egretta garzetta,0
414,Anisops campbelli,Egretta garzetta,0
415,Hydrovatus confertus,Egretta garzetta,0
416,Macrobrachium malcolmsonii,Egretta garzetta,0
417,Macrobrachium rosenbergii,Egretta garzetta,0
418,Macrobrachium rude,Egretta garzetta,0
419,Macrobrachium equidens,Egretta garzetta,0
420,Big fish juveniles,Egretta garzetta,0
421,Parambassis baculis,Bubulcus ibis,0
422,Aplocheilus panchax,Bubulcus ibis,0
423,Badis badis,Bubulcus ibis,0
424,Puntius vittatus,Bubulcus ibis,0
425,Rasbora daniconius,Bubulcus ibis,0
426,Pethia phutunio,Bubulcus ibis,0
427,Trichogaster lalius,Bubulcus ibis,0
428,Trichogaster fasciata,Bubulcus ibis,0
429,Diplonychus annulatus,Bubulcus ibis,0
