"","PREY_sp","PREDATOR_sp"
"126","Laccotrephes ruber","Centropus bengalensis"
"127","Ranatra elongata","Centropus bengalensis"
"128","Ranatra filiformis","Centropus bengalensis"
"129","Ranatra varipes","Centropus bengalensis"
"130","Anisops campbelli","Centropus bengalensis"
"131","Hydrovatus confertus","Centropus bengalensis"
"132","Duttaphrynus melanostictus","Centropus bengalensis"
"133","Duttaphrynus scaber","Centropus bengalensis"
"134","Fejervarya orissaensis","Centropus bengalensis"
"135","Minervarya agricola","Centropus bengalensis"
"136","Minervarya pierrei","Centropus bengalensis"
"137","Euphlyctis cyanophlyctis","Centropus bengalensis"
"138","Hoplobatrachus tigerinus","Centropus bengalensis"
"139","Hoplobatrachus crassus","Centropus bengalensis"
"140","Uperodon systoma","Centropus bengalensis"
"141","Polypedates maculatus","Centropus bengalensis"
"142","Herbaceous aquatic plants","Gallinula chloropus"
"143","Diplonychus annulatus","Gallinula chloropus"
"144","Diplonychus rusticus","Gallinula chloropus"
"145","Aquarius adelaides","Gallinula chloropus"
"146","Limnogonus fossarum","Gallinula chloropus"
"147","Laccotrephes griseus","Gallinula chloropus"
"148","Laccotrephes ruber","Gallinula chloropus"
"149","Ranatra elongata","Gallinula chloropus"
"150","Ranatra filiformis","Gallinula chloropus"
"151","Ranatra varipes","Gallinula chloropus"
"152","Anisops campbelli","Gallinula chloropus"
"153","Hydrovatus confertus","Gallinula chloropus"
"154","Duttaphrynus melanostictus","Gallinula chloropus"
"155","Duttaphrynus scaber","Gallinula chloropus"
"156","Fejervarya orissaensis","Gallinula chloropus"
"157","Minervarya agricola","Gallinula chloropus"
"158","Minervarya pierrei","Gallinula chloropus"
"159","Euphlyctis cyanophlyctis","Gallinula chloropus"
"160","Hoplobatrachus tigerinus","Gallinula chloropus"
"161","Hoplobatrachus crassus","Gallinula chloropus"
"162","Uperodon systoma","Gallinula chloropus"
"163","Polypedates maculatus","Gallinula chloropus"
"164","Herbaceous aquatic plants","Porphyrio poliocephalus"
"165","Diplonychus annulatus","Porphyrio poliocephalus"
"166","Diplonychus rusticus","Porphyrio poliocephalus"
"167","Aquarius adelaides","Porphyrio poliocephalus"
"168","Limnogonus fossarum","Porphyrio poliocephalus"
"169","Laccotrephes griseus","Porphyrio poliocephalus"
"170","Laccotrephes ruber","Porphyrio poliocephalus"
"171","Ranatra elongata","Porphyrio poliocephalus"
"172","Ranatra filiformis","Porphyrio poliocephalus"
"173","Ranatra varipes","Porphyrio poliocephalus"
"174","Anisops campbelli","Porphyrio poliocephalus"
"175","Hydrovatus confertus","Porphyrio poliocephalus"
"176","Herbaceous aquatic plants","Amaurornis phoenicurus"
"177","Diplonychus annulatus","Amaurornis phoenicurus"
"178","Diplonychus rusticus","Amaurornis phoenicurus"
"179","Aquarius adelaides","Amaurornis phoenicurus"
"180","Limnogonus fossarum","Amaurornis phoenicurus"
"181","Laccotrephes griseus","Amaurornis phoenicurus"
"182","Laccotrephes ruber","Amaurornis phoenicurus"
"183","Ranatra elongata","Amaurornis phoenicurus"
"184","Ranatra filiformis","Amaurornis phoenicurus"
"185","Ranatra varipes","Amaurornis phoenicurus"
"186","Anisops campbelli","Amaurornis phoenicurus"
"187","Hydrovatus confertus","Amaurornis phoenicurus"
"188","Parambassis baculis","Amaurornis phoenicurus"
"189","Aplocheilus panchax","Amaurornis phoenicurus"
"190","Badis badis","Amaurornis phoenicurus"
"191","Puntius vittatus","Amaurornis phoenicurus"
"192","Rasbora daniconius","Amaurornis phoenicurus"
"193","Pethia phutunio","Amaurornis phoenicurus"
"194","Trichogaster lalius","Amaurornis phoenicurus"
"195","Trichogaster fasciata","Amaurornis phoenicurus"
"196","Big fish juveniles","Amaurornis phoenicurus"
"197","Diplonychus annulatus","Himantopus himantopus"
"198","Diplonychus rusticus","Himantopus himantopus"
"199","Aquarius adelaides","Himantopus himantopus"
"200","Limnogonus fossarum","Himantopus himantopus"
"201","Laccotrephes griseus","Himantopus himantopus"
"202","Laccotrephes ruber","Himantopus himantopus"
"203","Ranatra elongata","Himantopus himantopus"
"204","Ranatra filiformis","Himantopus himantopus"
"205","Ranatra varipes","Himantopus himantopus"
"206","Anisops campbelli","Himantopus himantopus"
"207","Hydrovatus confertus","Himantopus himantopus"
"208","Diplonychus annulatus","Vanellus indicus"
"209","Diplonychus rusticus","Vanellus indicus"
"210","Aquarius adelaides","Vanellus indicus"
"211","Limnogonus fossarum","Vanellus indicus"
"212","Laccotrephes griseus","Vanellus indicus"
"213","Laccotrephes ruber","Vanellus indicus"
"214","Ranatra elongata","Vanellus indicus"
"215","Ranatra filiformis","Vanellus indicus"
"216","Ranatra varipes","Vanellus indicus"
"217","Anisops campbelli","Vanellus indicus"
"218","Hydrovatus confertus","Vanellus indicus"
"219","Herbaceous aquatic plants","Metopidius indicus"
"220","Diplonychus annulatus","Metopidius indicus"
"221","Diplonychus rusticus","Metopidius indicus"
"222","Aquarius adelaides","Metopidius indicus"
"223","Limnogonus fossarum","Metopidius indicus"
"224","Laccotrephes griseus","Metopidius indicus"
"225","Laccotrephes ruber","Metopidius indicus"
"226","Ranatra elongata","Metopidius indicus"
"227","Ranatra filiformis","Metopidius indicus"
"228","Ranatra varipes","Metopidius indicus"
"229","Anisops campbelli","Metopidius indicus"
"230","Hydrovatus confertus","Metopidius indicus"
"231","Herbaceous aquatic plants","Hydrophasianus chirurgus"
"232","Diplonychus annulatus","Hydrophasianus chirurgus"
"233","Diplonychus rusticus","Hydrophasianus chirurgus"
"234","Aquarius adelaides","Hydrophasianus chirurgus"
"235","Limnogonus fossarum","Hydrophasianus chirurgus"
"236","Laccotrephes griseus","Hydrophasianus chirurgus"
"237","Laccotrephes ruber","Hydrophasianus chirurgus"
"238","Ranatra elongata","Hydrophasianus chirurgus"
"239","Ranatra filiformis","Hydrophasianus chirurgus"
"240","Ranatra varipes","Hydrophasianus chirurgus"
"241","Anisops campbelli","Hydrophasianus chirurgus"
"242","Hydrovatus confertus","Hydrophasianus chirurgus"
"243","Fejervarya orissaensis","Anastomus oscitans"
"244","Minervarya agricola","Anastomus oscitans"
"245","Minervarya pierrei","Anastomus oscitans"
"246","Uperodon systoma","Anastomus oscitans"
"247","Polypedates maculatus","Anastomus oscitans"
"248","Parambassis baculis","Anastomus oscitans"
"249","Aplocheilus panchax","Anastomus oscitans"
"250","Badis badis","Anastomus oscitans"
"251","Puntius vittatus","Anastomus oscitans"
"252","Rasbora daniconius","Anastomus oscitans"
"253","Pethia phutunio","Anastomus oscitans"
"254","Trichogaster lalius","Anastomus oscitans"
"255","Trichogaster fasciata","Anastomus oscitans"
"256","Big fish juveniles","Anastomus oscitans"
"257","Parambassis baculis","Mycteria leucocephala"
"258","Aplocheilus panchax","Mycteria leucocephala"
"259","Netuma thalassina","Mycteria leucocephala"
"260","Badis badis","Mycteria leucocephala"
"261","Mystus tengara","Mycteria leucocephala"
"262","Mystus vittatus","Mycteria leucocephala"
"263","Xenentodon cancila","Mycteria leucocephala"
"264","Channa punctata","Mycteria leucocephala"
"265","Channa striata","Mycteria leucocephala"
"266","Channa gachua","Mycteria leucocephala"
"267","Oreochromis niloticus","Mycteria leucocephala"
"268","Puntius vittatus","Mycteria leucocephala"
"269","Rasbora daniconius","Mycteria leucocephala"
"270","Pethia phutunio","Mycteria leucocephala"
"271","Glossogobius giuris","Mycteria leucocephala"
"272","Heteropneustes fossilis","Mycteria leucocephala"
"273","Macrognathus pancalus","Mycteria leucocephala"
"274","Mastacembelus armatus","Mycteria leucocephala"
"275","Notopterus notopterus","Mycteria leucocephala"
"276","Trichogaster lalius","Mycteria leucocephala"
"277","Trichogaster fasciata","Mycteria leucocephala"
"278","Duttaphrynus melanostictus","Mycteria leucocephala"
"279","Duttaphrynus scaber","Mycteria leucocephala"
"280","Fejervarya orissaensis","Mycteria leucocephala"
"281","Minervarya agricola","Mycteria leucocephala"
"282","Minervarya pierrei","Mycteria leucocephala"
"283","Euphlyctis cyanophlyctis","Mycteria leucocephala"
"284","Hoplobatrachus tigerinus","Mycteria leucocephala"
"285","Hoplobatrachus crassus","Mycteria leucocephala"
"286","Uperodon systoma","Mycteria leucocephala"
"287","Polypedates maculatus","Mycteria leucocephala"
"288","Diplonychus annulatus","Mycteria leucocephala"
"289","Diplonychus rusticus","Mycteria leucocephala"
"290","Aquarius adelaides","Mycteria leucocephala"
"291","Limnogonus fossarum","Mycteria leucocephala"
"292","Laccotrephes griseus","Mycteria leucocephala"
"293","Laccotrephes ruber","Mycteria leucocephala"
"294","Ranatra elongata","Mycteria leucocephala"
"295","Ranatra filiformis","Mycteria leucocephala"
"296","Ranatra varipes","Mycteria leucocephala"
"297","Anisops campbelli","Mycteria leucocephala"
"298","Hydrovatus confertus","Mycteria leucocephala"
"299","Big fish juveniles","Mycteria leucocephala"
"300","Parambassis baculis","Microcarbo niger"
"301","Aplocheilus panchax","Microcarbo niger"
"302","Badis badis","Microcarbo niger"
"303","Puntius vittatus","Microcarbo niger"
"304","Rasbora daniconius","Microcarbo niger"
"305","Pethia phutunio","Microcarbo niger"
"306","Trichogaster lalius","Microcarbo niger"
"307","Trichogaster fasciata","Microcarbo niger"
"308","Duttaphrynus melanostictus","Microcarbo niger"
"309","Duttaphrynus scaber","Microcarbo niger"
"310","Fejervarya orissaensis","Microcarbo niger"
"311","Minervarya agricola","Microcarbo niger"
"312","Minervarya pierrei","Microcarbo niger"
"313","Euphlyctis cyanophlyctis","Microcarbo niger"
"314","Hoplobatrachus tigerinus","Microcarbo niger"
"315","Hoplobatrachus crassus","Microcarbo niger"
"316","Uperodon systoma","Microcarbo niger"
"317","Polypedates maculatus","Microcarbo niger"
"318","Macrobrachium malcolmsonii","Microcarbo niger"
"319","Macrobrachium rosenbergii","Microcarbo niger"
"320","Macrobrachium rude","Microcarbo niger"
"321","Macrobrachium equidens","Microcarbo niger"
"322","Big fish juveniles","Microcarbo niger"
"323","Parambassis baculis","Ardea purpurea"
"324","Aplocheilus panchax","Ardea purpurea"
"325","Badis badis","Ardea purpurea"
"326","Puntius vittatus","Ardea purpurea"
"327","Rasbora daniconius","Ardea purpurea"
"328","Pethia phutunio","Ardea purpurea"
"329","Trichogaster lalius","Ardea purpurea"
"330","Trichogaster fasciata","Ardea purpurea"
"331","Enhydris enhydris","Ardea purpurea"
"332","Fowlea piscator","Ardea purpurea"
"333","Duttaphrynus melanostictus","Ardea purpurea"
"334","Duttaphrynus scaber","Ardea purpurea"
"335","Fejervarya orissaensis","Ardea purpurea"
"336","Minervarya agricola","Ardea purpurea"
"337","Minervarya pierrei","Ardea purpurea"
"338","Euphlyctis cyanophlyctis","Ardea purpurea"
"339","Hoplobatrachus tigerinus","Ardea purpurea"
"340","Hoplobatrachus crassus","Ardea purpurea"
"341","Uperodon systoma","Ardea purpurea"
"342","Polypedates maculatus","Ardea purpurea"
"343","Diplonychus annulatus","Ardea purpurea"
"344","Diplonychus rusticus","Ardea purpurea"
"345","Aquarius adelaides","Ardea purpurea"
"346","Limnogonus fossarum","Ardea purpurea"
"347","Laccotrephes griseus","Ardea purpurea"
