,from,to,link_type
267,Oreochromis niloticus,Mycteria leucocephala,0
268,Puntius vittatus,Mycteria leucocephala,0
269,Rasbora daniconius,Mycteria leucocephala,0
270,Pethia phutunio,Mycteria leucocephala,0
271,Glossogobius giuris,Mycteria leucocephala,0
272,Heteropneustes fossilis,Mycteria leucocephala,0
273,Macrognathus pancalus,Mycteria leucocephala,0
274,Mastacembelus armatus,Mycteria leucocephala,0
275,Notopterus notopterus,Mycteria leucocephala,0
276,Trichogaster lalius,Mycteria leucocephala,0
277,Trichogaster fasciata,Mycteria leucocephala,0
278,Duttaphrynus melanostictus,Mycteria leucocephala,0
279,Duttaphrynus scaber,Mycteria leucocephala,0
280,Fejervarya orissaensis,Mycteria leucocephala,0
281,Minervarya agricola,Mycteria leucocephala,0
282,Minervarya pierrei,Mycteria leucocephala,0
283,Euphlyctis cyanophlyctis,Mycteria leucocephala,0
284,Hoplobatrachus tigerinus,Mycteria leucocephala,0
285,Hoplobatrachus crassus,Mycteria leucocephala,0
286,Uperodon systoma,Mycteria leucocephala,0
287,Polypedates maculatus,Mycteria leucocephala,0
288,Diplonychus annulatus,Mycteria leucocephala,0
289,Diplonychus rusticus,Mycteria leucocephala,0
290,Aquarius adelaides,Mycteria leucocephala,0
291,Limnogonus fossarum,Mycteria leucocephala,0
292,Laccotrephes griseus,Mycteria leucocephala,0
293,Laccotrephes ruber,Mycteria leucocephala,0
294,Ranatra elongata,Mycteria leucocephala,0
295,Ranatra filiformis,Mycteria leucocephala,0
296,Ranatra varipes,Mycteria leucocephala,0
297,Anisops campbelli,Mycteria leucocephala,0
298,Hydrovatus confertus,Mycteria leucocephala,0
299,Big fish juveniles,Mycteria leucocephala,0
300,Parambassis baculis,Microcarbo niger,0
301,Aplocheilus panchax,Microcarbo niger,0
302,Badis badis,Microcarbo niger,0
303,Puntius vittatus,Microcarbo niger,0
304,Rasbora daniconius,Microcarbo niger,0
305,Pethia phutunio,Microcarbo niger,0
306,Trichogaster lalius,Microcarbo niger,0
307,Trichogaster fasciata,Microcarbo niger,0
308,Duttaphrynus melanostictus,Microcarbo niger,0
309,Duttaphrynus scaber,Microcarbo niger,0
310,Fejervarya orissaensis,Microcarbo niger,0
311,Minervarya agricola,Microcarbo niger,0
312,Minervarya pierrei,Microcarbo niger,0
313,Euphlyctis cyanophlyctis,Microcarbo niger,0
314,Hoplobatrachus tigerinus,Microcarbo niger,0
315,Hoplobatrachus crassus,Microcarbo niger,0
316,Uperodon systoma,Microcarbo niger,0
317,Polypedates maculatus,Microcarbo niger,0
318,Macrobrachium malcolmsonii,Microcarbo niger,0
319,Macrobrachium rosenbergii,Microcarbo niger,0
320,Macrobrachium rude,Microcarbo niger,0
321,Macrobrachium equidens,Microcarbo niger,0
322,Big fish juveniles,Microcarbo niger,0
323,Parambassis baculis,Ardea purpurea,0
324,Aplocheilus panchax,Ardea purpurea,0
325,Badis badis,Ardea purpurea,0
326,Puntius vittatus,Ardea purpurea,0
327,Rasbora daniconius,Ardea purpurea,0
328,Pethia phutunio,Ardea purpurea,0
329,Trichogaster lalius,Ardea purpurea,0
330,Trichogaster fasciata,Ardea purpurea,0
331,Enhydris enhydris,Ardea purpurea,0
332,Fowlea piscator,Ardea purpurea,0
333,Duttaphrynus melanostictus,Ardea purpurea,0
334,Duttaphrynus scaber,Ardea purpurea,0
335,Fejervarya orissaensis,Ardea purpurea,0
336,Minervarya agricola,Ardea purpurea,0
337,Minervarya pierrei,Ardea purpurea,0
338,Euphlyctis cyanophlyctis,Ardea purpurea,0
339,Hoplobatrachus tigerinus,Ardea purpurea,0
340,Hoplobatrachus crassus,Ardea purpurea,0
341,Uperodon systoma,Ardea purpurea,0
342,Polypedates maculatus,Ardea purpurea,0
343,Diplonychus annulatus,Ardea purpurea,0
344,Diplonychus rusticus,Ardea purpurea,0
345,Aquarius adelaides,Ardea purpurea,0
