"","PREY_sp","PREDATOR_sp"
"288","Fowlea piscator","Ardea purpurea"
"289","Duttaphrynus melanostictus","Ardea purpurea"
"290","Duttaphrynus scaber","Ardea purpurea"
"291","Fejervarya orissaensis","Ardea purpurea"
"292","Minervarya agricola","Ardea purpurea"
"293","Minervarya pierrei","Ardea purpurea"
"294","Euphlyctis cyanophlyctis","Ardea purpurea"
"295","Hoplobatrachus tigerinus","Ardea purpurea"
"296","Hoplobatrachus crassus","Ardea purpurea"
"297","Sphaerotheca breviceps","Ardea purpurea"
"298","Sphaerotheca rolandae","Ardea purpurea"
"299","Microhyla mymensinghensis","Ardea purpurea"
"300","Uperodon systoma","Ardea purpurea"
"301","Hylarana tytleri","Ardea purpurea"
"302","Polypedates maculatus","Ardea purpurea"
"303","Diplonychus annulatus","Ardea purpurea"
"304","Diplonychus rusticus","Ardea purpurea"
"305","Aquarius adelaides","Ardea purpurea"
"306","Limnogonus fossarum","Ardea purpurea"
"307","Laccotrephes griseus","Ardea purpurea"
"308","Laccotrephes ruber","Ardea purpurea"
"309","Ranatra elongata","Ardea purpurea"
"310","Ranatra filiformis","Ardea purpurea"
"311","Ranatra varipes","Ardea purpurea"
"312","Anisops campbelli","Ardea purpurea"
"313","Hydrovatus confertus","Ardea purpurea"
"314","Big fish juveniles","Ardea purpurea"
"315","Parambassis baculis","Ardea alba"
"316","Aplocheilus panchax","Ardea alba"
"317","Badis badis","Ardea alba"
"318","Puntius vittatus","Ardea alba"
"319","Rasbora daniconius","Ardea alba"
"320","Pethia phutunio","Ardea alba"
"321","Trichogaster lalius","Ardea alba"
"322","Trichogaster fasciata","Ardea alba"
"323","Duttaphrynus melanostictus","Ardea alba"
"324","Duttaphrynus scaber","Ardea alba"
"325","Fejervarya orissaensis","Ardea alba"
"326","Minervarya agricola","Ardea alba"
"327","Minervarya pierrei","Ardea alba"
"328","Euphlyctis cyanophlyctis","Ardea alba"
"329","Hoplobatrachus tigerinus","Ardea alba"
"330","Hoplobatrachus crassus","Ardea alba"
"331","Sphaerotheca breviceps","Ardea alba"
"332","Sphaerotheca rolandae","Ardea alba"
