"","PREY_sp","PREDATOR_sp"
"200","Aquarius adelaides","Porphyrio poliocephalus"
"201","Limnogonus fossarum","Porphyrio poliocephalus"
"202","Laccotrephes griseus","Porphyrio poliocephalus"
"203","Laccotrephes ruber","Porphyrio poliocephalus"
"204","Ranatra elongata","Porphyrio poliocephalus"
"205","Ranatra filiformis","Porphyrio poliocephalus"
"206","Ranatra varipes","Porphyrio poliocephalus"
"207","Anisops campbelli","Porphyrio poliocephalus"
"208","Hydrovatus confertus","Porphyrio poliocephalus"
"209","Pila globosa","Porphyrio poliocephalus"
"210","Filopaludina bengalensis","Porphyrio poliocephalus"
"211","Melanoides tuberculata","Porphyrio poliocephalus"
"212","Tarebia lineata","Porphyrio poliocephalus"
"213","Bithynia pulchella","Porphyrio poliocephalus"
"214","Gabbia orcula","Porphyrio poliocephalus"
"215","Radix rufescens","Porphyrio poliocephalus"
"216","Racesina luteola","Porphyrio poliocephalus"
"217","Gyraulus barrackporensis","Porphyrio poliocephalus"
"218","Gyraulus convexiusculus","Porphyrio poliocephalus"
"219","Gyraulus euphraticus","Porphyrio poliocephalus"
"220","Indoplanorbis exustus","Porphyrio poliocephalus"
"221","Herbaceous aquatic plants","Amaurornis phoenicurus"
"222","Diplonychus annulatus","Amaurornis phoenicurus"
"223","Diplonychus rusticus","Amaurornis phoenicurus"
"224","Aquarius adelaides","Amaurornis phoenicurus"
"225","Limnogonus fossarum","Amaurornis phoenicurus"
"226","Laccotrephes griseus","Amaurornis phoenicurus"
"227","Laccotrephes ruber","Amaurornis phoenicurus"
"228","Ranatra elongata","Amaurornis phoenicurus"
"229","Ranatra filiformis","Amaurornis phoenicurus"
"230","Ranatra varipes","Amaurornis phoenicurus"
"231","Anisops campbelli","Amaurornis phoenicurus"
"232","Hydrovatus confertus","Amaurornis phoenicurus"
"233","Parambassis baculis","Amaurornis phoenicurus"
"234","Aplocheilus panchax","Amaurornis phoenicurus"
"235","Badis badis","Amaurornis phoenicurus"
"236","Puntius vittatus","Amaurornis phoenicurus"
"237","Rasbora daniconius","Amaurornis phoenicurus"
"238","Pethia phutunio","Amaurornis phoenicurus"
"239","Trichogaster lalius","Amaurornis phoenicurus"
"240","Trichogaster fasciata","Amaurornis phoenicurus"
"241","Pila globosa","Amaurornis phoenicurus"
"242","Filopaludina bengalensis","Amaurornis phoenicurus"
"243","Melanoides tuberculata","Amaurornis phoenicurus"
"244","Tarebia lineata","Amaurornis phoenicurus"
"245","Bithynia pulchella","Amaurornis phoenicurus"
"246","Gabbia orcula","Amaurornis phoenicurus"
"247","Radix rufescens","Amaurornis phoenicurus"
"248","Racesina luteola","Amaurornis phoenicurus"
"249","Gyraulus barrackporensis","Amaurornis phoenicurus"
"250","Gyraulus convexiusculus","Amaurornis phoenicurus"
"251","Gyraulus euphraticus","Amaurornis phoenicurus"
"252","Indoplanorbis exustus","Amaurornis phoenicurus"
"253","Big fish juveniles","Amaurornis phoenicurus"
"254","Pila globosa","Himantopus himantopus"
"255","Filopaludina bengalensis","Himantopus himantopus"
"256","Melanoides tuberculata","Himantopus himantopus"
"257","Tarebia lineata","Himantopus himantopus"
"258","Bithynia pulchella","Himantopus himantopus"
"259","Gabbia orcula","Himantopus himantopus"
"260","Radix rufescens","Himantopus himantopus"
"261","Racesina luteola","Himantopus himantopus"
"262","Gyraulus barrackporensis","Himantopus himantopus"
"263","Gyraulus convexiusculus","Himantopus himantopus"
"264","Gyraulus euphraticus","Himantopus himantopus"
"265","Indoplanorbis exustus","Himantopus himantopus"
"266","Diplonychus annulatus","Himantopus himantopus"
"267","Diplonychus rusticus","Himantopus himantopus"
"268","Aquarius adelaides","Himantopus himantopus"
"269","Limnogonus fossarum","Himantopus himantopus"
"270","Laccotrephes griseus","Himantopus himantopus"
"271","Laccotrephes ruber","Himantopus himantopus"
"272","Ranatra elongata","Himantopus himantopus"
"273","Ranatra filiformis","Himantopus himantopus"
"274","Ranatra varipes","Himantopus himantopus"
"275","Anisops campbelli","Himantopus himantopus"
"276","Hydrovatus confertus","Himantopus himantopus"
"277","Pila globosa","Vanellus indicus"
"278","Filopaludina bengalensis","Vanellus indicus"
"279","Melanoides tuberculata","Vanellus indicus"
"280","Tarebia lineata","Vanellus indicus"
"281","Bithynia pulchella","Vanellus indicus"
"282","Gabbia orcula","Vanellus indicus"
"283","Radix rufescens","Vanellus indicus"
"284","Racesina luteola","Vanellus indicus"
"285","Gyraulus barrackporensis","Vanellus indicus"
"286","Gyraulus convexiusculus","Vanellus indicus"
"287","Gyraulus euphraticus","Vanellus indicus"
"288","Indoplanorbis exustus","Vanellus indicus"
"289","Diplonychus annulatus","Vanellus indicus"
"290","Diplonychus rusticus","Vanellus indicus"
"291","Aquarius adelaides","Vanellus indicus"
"292","Limnogonus fossarum","Vanellus indicus"
"293","Laccotrephes griseus","Vanellus indicus"
"294","Laccotrephes ruber","Vanellus indicus"
"295","Ranatra elongata","Vanellus indicus"
"296","Ranatra filiformis","Vanellus indicus"
"297","Ranatra varipes","Vanellus indicus"
"298","Anisops campbelli","Vanellus indicus"
"299","Hydrovatus confertus","Vanellus indicus"
"300","Herbaceous aquatic plants","Metopidius indicus"
"301","Diplonychus annulatus","Metopidius indicus"
"302","Diplonychus rusticus","Metopidius indicus"
"303","Aquarius adelaides","Metopidius indicus"
"304","Limnogonus fossarum","Metopidius indicus"
"305","Laccotrephes griseus","Metopidius indicus"
"306","Laccotrephes ruber","Metopidius indicus"
"307","Ranatra elongata","Metopidius indicus"
"308","Ranatra filiformis","Metopidius indicus"
"309","Ranatra varipes","Metopidius indicus"
"310","Anisops campbelli","Metopidius indicus"
"311","Hydrovatus confertus","Metopidius indicus"
"312","Pila globosa","Metopidius indicus"
"313","Filopaludina bengalensis","Metopidius indicus"
"314","Melanoides tuberculata","Metopidius indicus"
"315","Tarebia lineata","Metopidius indicus"
"316","Bithynia pulchella","Metopidius indicus"
"317","Gabbia orcula","Metopidius indicus"
"318","Radix rufescens","Metopidius indicus"
