"","PREY_sp","PREDATOR_sp"
"199","Gyraulus convexiusculus","Tachybaptus ruficollis"
"200","Gyraulus euphraticus","Tachybaptus ruficollis"
"201","Indoplanorbis exustus","Tachybaptus ruficollis"
"202","Parambassis baculis","Tachybaptus ruficollis"
"203","Aplocheilus panchax","Tachybaptus ruficollis"
"204","Badis badis","Tachybaptus ruficollis"
"205","Puntius vittatus","Tachybaptus ruficollis"
"206","Rasbora daniconius","Tachybaptus ruficollis"
"207","Pethia phutunio","Tachybaptus ruficollis"
"208","Trichogaster lalius","Tachybaptus ruficollis"
"209","Trichogaster fasciata","Tachybaptus ruficollis"
"210","Big fish juveniles","Tachybaptus ruficollis"
"211","Tadploes","Tachybaptus ruficollis"
"212","Macrobrachium malcolmsonii","Tachybaptus ruficollis"
"213","Macrobrachium rosenbergii","Tachybaptus ruficollis"
"214","Macrobrachium rude","Tachybaptus ruficollis"
"215","Macrobrachium equidens","Tachybaptus ruficollis"
"216","Diplonychus annulatus","Tachybaptus ruficollis"
"217","Diplonychus rusticus","Tachybaptus ruficollis"
"218","Aquarius adelaides","Tachybaptus ruficollis"
"219","Limnogonus fossarum","Tachybaptus ruficollis"
"220","Laccotrephes griseus","Tachybaptus ruficollis"
"221","Laccotrephes ruber","Tachybaptus ruficollis"
"222","Ranatra elongata","Tachybaptus ruficollis"
"223","Ranatra filiformis","Tachybaptus ruficollis"
"224","Ranatra varipes","Tachybaptus ruficollis"
"225","Anisops campbelli","Tachybaptus ruficollis"
"226","Hydrovatus confertus","Tachybaptus ruficollis"
"228","Diplonychus annulatus","Centropus bengalensis"
"229","Diplonychus rusticus","Centropus bengalensis"
"230","Aquarius adelaides","Centropus bengalensis"
"231","Limnogonus fossarum","Centropus bengalensis"
"232","Laccotrephes griseus","Centropus bengalensis"
"233","Laccotrephes ruber","Centropus bengalensis"
"234","Ranatra elongata","Centropus bengalensis"
"235","Ranatra filiformis","Centropus bengalensis"
"236","Ranatra varipes","Centropus bengalensis"
"237","Anisops campbelli","Centropus bengalensis"
"238","Hydrovatus confertus","Centropus bengalensis"
"239","Duttaphrynus melanostictus","Centropus bengalensis"
"240","Minervarya agricola","Centropus bengalensis"
"241","Euphlyctis cyanophlyctis","Centropus bengalensis"
"242","Hoplobatrachus tigerinus","Centropus bengalensis"
"243","Microhyla mymensinghensis","Centropus bengalensis"
"244","Polypedates maculatus","Centropus bengalensis"
"245","Pila globosa","Centropus bengalensis"
"246","Filopaludina bengalensis","Centropus bengalensis"
"247","Melanoides tuberculata","Centropus bengalensis"
"248","Tarebia lineata","Centropus bengalensis"
"249","Bithynia pulchella","Centropus bengalensis"
"250","Gabbia orcula","Centropus bengalensis"
"251","Radix rufescens","Centropus bengalensis"
"252","Racesina luteola","Centropus bengalensis"
"253","Gyraulus barrackporensis","Centropus bengalensis"
"254","Gyraulus convexiusculus","Centropus bengalensis"
"255","Gyraulus euphraticus","Centropus bengalensis"
"256","Indoplanorbis exustus","Centropus bengalensis"
"257","Herbaceous aquatic plants","Gallinula chloropus"
"258","Diplonychus annulatus","Gallinula chloropus"
"259","Diplonychus rusticus","Gallinula chloropus"
"260","Aquarius adelaides","Gallinula chloropus"
"261","Limnogonus fossarum","Gallinula chloropus"
"262","Laccotrephes griseus","Gallinula chloropus"
"263","Laccotrephes ruber","Gallinula chloropus"
"264","Ranatra elongata","Gallinula chloropus"
"265","Ranatra filiformis","Gallinula chloropus"
"266","Ranatra varipes","Gallinula chloropus"
"267","Anisops campbelli","Gallinula chloropus"
"268","Hydrovatus confertus","Gallinula chloropus"
"269","Duttaphrynus melanostictus","Gallinula chloropus"
"270","Minervarya agricola","Gallinula chloropus"
"271","Euphlyctis cyanophlyctis","Gallinula chloropus"
"272","Hoplobatrachus tigerinus","Gallinula chloropus"
"273","Microhyla mymensinghensis","Gallinula chloropus"
"274","Polypedates maculatus","Gallinula chloropus"
"275","Herbaceous aquatic plants","Fulica atra"
"276","Diplonychus annulatus","Fulica atra"
"277","Diplonychus rusticus","Fulica atra"
"278","Aquarius adelaides","Fulica atra"
"279","Limnogonus fossarum","Fulica atra"
"280","Laccotrephes griseus","Fulica atra"
"281","Laccotrephes ruber","Fulica atra"
"282","Ranatra elongata","Fulica atra"
"283","Ranatra filiformis","Fulica atra"
"284","Ranatra varipes","Fulica atra"
"285","Anisops campbelli","Fulica atra"
