"","PREY_sp","PREDATOR_sp"
"335","Hoplobatrachus tigerinus","Mycteria leucocephala"
"336","Hoplobatrachus crassus","Mycteria leucocephala"
"337","Sphaerotheca breviceps","Mycteria leucocephala"
"338","Sphaerotheca rolandae","Mycteria leucocephala"
"339","Microhyla mymensinghensis","Mycteria leucocephala"
"340","Uperodon systoma","Mycteria leucocephala"
"341","Hylarana tytleri","Mycteria leucocephala"
"342","Polypedates maculatus","Mycteria leucocephala"
"343","Diplonychus annulatus","Mycteria leucocephala"
"344","Diplonychus rusticus","Mycteria leucocephala"
"345","Aquarius adelaides","Mycteria leucocephala"
"346","Limnogonus fossarum","Mycteria leucocephala"
"347","Laccotrephes griseus","Mycteria leucocephala"
"348","Laccotrephes ruber","Mycteria leucocephala"
"349","Ranatra elongata","Mycteria leucocephala"
"350","Ranatra filiformis","Mycteria leucocephala"
"351","Ranatra varipes","Mycteria leucocephala"
"352","Anisops campbelli","Mycteria leucocephala"
"353","Hydrovatus confertus","Mycteria leucocephala"
"354","Big fish juveniles","Mycteria leucocephala"
"355","Tadploes","Mycteria leucocephala"
"356","Parambassis baculis","Microcarbo niger"
"357","Aplocheilus panchax","Microcarbo niger"
"358","Badis badis","Microcarbo niger"
"359","Puntius vittatus","Microcarbo niger"
"360","Rasbora daniconius","Microcarbo niger"
"361","Pethia phutunio","Microcarbo niger"
"362","Trichogaster lalius","Microcarbo niger"
"363","Trichogaster fasciata","Microcarbo niger"
"364","Tadploes","Microcarbo niger"
"365","Duttaphrynus melanostictus","Microcarbo niger"
"366","Duttaphrynus scaber","Microcarbo niger"
"367","Fejervarya orissaensis","Microcarbo niger"
"368","Minervarya agricola","Microcarbo niger"
"369","Minervarya pierrei","Microcarbo niger"
"370","Euphlyctis cyanophlyctis","Microcarbo niger"
"371","Hoplobatrachus tigerinus","Microcarbo niger"
"372","Hoplobatrachus crassus","Microcarbo niger"
"373","Sphaerotheca breviceps","Microcarbo niger"
"374","Sphaerotheca rolandae","Microcarbo niger"
"375","Microhyla mymensinghensis","Microcarbo niger"
"376","Uperodon systoma","Microcarbo niger"
"377","Hylarana tytleri","Microcarbo niger"
"378","Polypedates maculatus","Microcarbo niger"
"379","Macrobrachium malcolmsonii","Microcarbo niger"
"380","Macrobrachium rosenbergii","Microcarbo niger"
"381","Macrobrachium rude","Microcarbo niger"
"382","Macrobrachium equidens","Microcarbo niger"
"383","Big fish juveniles","Microcarbo niger"
"384","Parambassis baculis","Ardea purpurea"
"385","Aplocheilus panchax","Ardea purpurea"
"386","Badis badis","Ardea purpurea"
"387","Puntius vittatus","Ardea purpurea"
"388","Rasbora daniconius","Ardea purpurea"
"389","Pethia phutunio","Ardea purpurea"
"390","Trichogaster lalius","Ardea purpurea"
"391","Trichogaster fasciata","Ardea purpurea"
"392","Enhydris enhydris","Ardea purpurea"
"393","Fowlea piscator","Ardea purpurea"
"394","Duttaphrynus melanostictus","Ardea purpurea"
"395","Duttaphrynus scaber","Ardea purpurea"
"396","Fejervarya orissaensis","Ardea purpurea"
"397","Minervarya agricola","Ardea purpurea"
"398","Minervarya pierrei","Ardea purpurea"
"399","Euphlyctis cyanophlyctis","Ardea purpurea"
"400","Hoplobatrachus tigerinus","Ardea purpurea"
"401","Hoplobatrachus crassus","Ardea purpurea"
"402","Sphaerotheca breviceps","Ardea purpurea"
"403","Sphaerotheca rolandae","Ardea purpurea"
"404","Microhyla mymensinghensis","Ardea purpurea"
"405","Uperodon systoma","Ardea purpurea"
"406","Hylarana tytleri","Ardea purpurea"
"407","Polypedates maculatus","Ardea purpurea"
"408","Diplonychus annulatus","Ardea purpurea"
"409","Diplonychus rusticus","Ardea purpurea"
"410","Aquarius adelaides","Ardea purpurea"
"411","Limnogonus fossarum","Ardea purpurea"
"412","Laccotrephes griseus","Ardea purpurea"
"413","Laccotrephes ruber","Ardea purpurea"
"414","Ranatra elongata","Ardea purpurea"
"415","Ranatra filiformis","Ardea purpurea"
"416","Ranatra varipes","Ardea purpurea"
"417","Anisops campbelli","Ardea purpurea"
"418","Hydrovatus confertus","Ardea purpurea"
"419","Big fish juveniles","Ardea purpurea"
"420","Parambassis baculis","Ardea alba"
"421","Aplocheilus panchax","Ardea alba"
"422","Badis badis","Ardea alba"
"423","Puntius vittatus","Ardea alba"
"424","Rasbora daniconius","Ardea alba"
"425","Pethia phutunio","Ardea alba"
"426","Trichogaster lalius","Ardea alba"
"427","Trichogaster fasciata","Ardea alba"
"428","Duttaphrynus melanostictus","Ardea alba"
"429","Duttaphrynus scaber","Ardea alba"
"430","Fejervarya orissaensis","Ardea alba"
"431","Minervarya agricola","Ardea alba"
"432","Minervarya pierrei","Ardea alba"
"433","Euphlyctis cyanophlyctis","Ardea alba"
"434","Hoplobatrachus tigerinus","Ardea alba"
"435","Hoplobatrachus crassus","Ardea alba"
"436","Sphaerotheca breviceps","Ardea alba"
"437","Sphaerotheca rolandae","Ardea alba"
"438","Microhyla mymensinghensis","Ardea alba"
"439","Uperodon systoma","Ardea alba"
"440","Hylarana tytleri","Ardea alba"
"441","Polypedates maculatus","Ardea alba"
"442","Diplonychus annulatus","Ardea alba"
"443","Diplonychus rusticus","Ardea alba"
"444","Aquarius adelaides","Ardea alba"
"445","Limnogonus fossarum","Ardea alba"
"446","Laccotrephes griseus","Ardea alba"
"447","Laccotrephes ruber","Ardea alba"
"448","Ranatra elongata","Ardea alba"
"449","Ranatra filiformis","Ardea alba"
"450","Ranatra varipes","Ardea alba"
"451","Anisops campbelli","Ardea alba"
"452","Hydrovatus confertus","Ardea alba"
"453","Big fish juveniles","Ardea alba"
"454","Parambassis baculis","Ardea intermedia"
"455","Aplocheilus panchax","Ardea intermedia"
"456","Badis badis","Ardea intermedia"
"457","Puntius vittatus","Ardea intermedia"
"458","Rasbora daniconius","Ardea intermedia"
"459","Pethia phutunio","Ardea intermedia"
"460","Trichogaster lalius","Ardea intermedia"
"461","Trichogaster fasciata","Ardea intermedia"
"462","Duttaphrynus melanostictus","Ardea intermedia"
"463","Duttaphrynus scaber","Ardea intermedia"
"464","Fejervarya orissaensis","Ardea intermedia"
"465","Minervarya agricola","Ardea intermedia"
"466","Minervarya pierrei","Ardea intermedia"
"467","Euphlyctis cyanophlyctis","Ardea intermedia"
